[ 2024-08-06 13:00:14,327 ] 160 numexpr.utils-INFO-NumExpr defaulting to 4 threads.
[ 2024-08-06 13:00:18,954 ] 97 werkzeug-WARNING- * Debugger is active!
[ 2024-08-06 13:00:18,966 ] 97 werkzeug-INFO- * Debugger PIN: 292-233-751
[ 2024-08-06 13:04:45,702 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:04:45] "GET /predict HTTP/1.1" 200 -
[ 2024-08-06 13:04:45,804 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:04:45] "GET /static/css/style.css HTTP/1.1" 200 -
[ 2024-08-06 13:04:45,923 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:04:45] "[33mGET /script.js HTTP/1.1[0m" 404 -
[ 2024-08-06 13:05:09,670 ] 67 root-INFO-Entered initiate_data_ingestion method of Data_Ingestion class
[ 2024-08-06 13:05:09,670 ] 37 root-INFO-Exporting data from mongodb
[ 2024-08-06 13:05:09,671 ] 44 root-INFO-Saving exported data into feature store file path: artifacts\08_06_2024_13_00_16\data_ingestion
[ 2024-08-06 13:06:00,290 ] 46 root-INFO-Shape of phising: (11055, 31)
[ 2024-08-06 13:06:00,482 ] 72 root-INFO-Got the data from mongodb
[ 2024-08-06 13:06:00,483 ] 74 root-INFO-Exited initiate_data_ingestion method of Data_Ingestion class
[ 2024-08-06 13:06:00,483 ] 250 root-INFO-Entered initiate_data_validation method of Data_Validation class
[ 2024-08-06 13:06:00,483 ] 253 root-INFO-Initiated data validation for the dataset
[ 2024-08-06 13:06:00,547 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:06:00] "[35m[1mGET /train HTTP/1.1[0m" 500 -
[ 2024-08-06 13:06:00,913 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:06:00] "GET /train?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2024-08-06 13:06:00,916 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:06:00] "GET /train?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2024-08-06 13:06:01,166 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:06:01] "GET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2024-08-06 13:06:01,266 ] 97 werkzeug-INFO-127.0.0.1 - - [06/Aug/2024 13:06:01] "[36mGET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
